2019/06/29 15:19:43 [error] 6392#6528: *1 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /favicon.ico HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/"
2019/06/29 15:20:21 [error] 6392#6528: *8 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/css/my.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/css/my.css HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/profile.php?id=3"
2019/06/29 15:20:21 [error] 6392#6528: *18 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/js/my.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/js/my.js HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/profile.php?id=3"
2019/06/29 15:20:21 [error] 6392#6528: *5 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/js/my.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/js/my.js HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/profile.php?id=3"
2019/06/29 15:20:23 [error] 6392#6528: *5 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/css/my.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/css/my.css HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/settings.php?id=3"
2019/06/29 15:20:23 [error] 6392#6528: *1 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/js/my.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/js/my.js HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/settings.php?id=3"
2019/06/29 15:20:23 [error] 6392#6528: *5 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/js/my.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/js/my.js HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/settings.php?id=3"
2019/06/29 15:20:25 [error] 6392#6528: *5 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/css/my.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/css/my.css HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/profile.php?id=3"
2019/06/29 15:20:25 [error] 6392#6528: *5 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/js/my.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/js/my.js HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/profile.php?id=3"
2019/06/29 15:20:26 [error] 6392#6528: *5 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/css/my.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/css/my.css HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/activity.php?id=3"
2019/06/29 15:20:26 [error] 6392#6528: *18 CreateFile() "c:/users/admin/documents/github/phpproject/ospanel/domains/mystackOverflow/style/js/my.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: mystackoverflow, request: "GET /style/js/my.js HTTP/1.1", host: "mystackoverflow", referrer: "http://mystackoverflow/pages/user/activity.php?id=3"
