wordpress: 127.0.0.1 [16/Aug/2019:10:38:15 +0500] "POST /wp-cron.php?doing_wp_cron=1565933894.4969830513000488281250 HTTP/1.1" "http://wordpress/wp-cron.php?doing_wp_cron=1565933894.4969830513000488281250" 499 0 "WordPress/5.2.2; http://wordpress" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:38:16 +0500] "GET / HTTP/1.1" "-" 200 6206 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:38:16 +0500] "GET /favicon.ico HTTP/1.1" "http://wordpress/" 404 736 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:39:37 +0500] "GET /wp-admin/ HTTP/1.1" "http://wordpress/" 200 18052 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:39:37 +0500] "GET /wp-admin/css/colors/midnight/colors.min.css?ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/" 200 11985 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:39:38 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,jquery-ui-core,jquery-&load%5B%5D=ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,underscore,wp-util,wp-a11y,dashboard,thickbox,plugin-install,updates,shortc&load%5B%5D=ode,media-upload,svg-painter&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/" 200 201487 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:40:40 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:41:40 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:43:40 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:09 +0500] "GET /wp-admin/index.php HTTP/1.1" "http://wordpress/wp-admin/" 499 0 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:10 +0500] "GET /wp-admin/index.php HTTP/1.1" "http://wordpress/wp-admin/" 200 18060 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:11 +0500] "GET /wp-admin/edit.php HTTP/1.1" "http://wordpress/wp-admin/index.php" 200 13649 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:11 +0500] "GET /wp-admin/js/svg-painter.js?ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/edit.php" 200 5863 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:11 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,jquery-ui-core,jquery-ui-widget,jquery-ui-position,jquery-ui-menu,wp-a11y,jquery-ui-autocomplete,ta&load%5B%5D=gs-suggest,inline-edit-post&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/edit.php" 200 69621 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:12 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:14 +0500] "GET /wp-admin/post.php?post=1&action=trash&_wpnonce=74bea8085a HTTP/1.1" "http://wordpress/wp-admin/edit.php" 302 442 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:15 +0500] "GET /wp-admin/edit.php?trashed=1&ids=1 HTTP/1.1" "http://wordpress/wp-admin/edit.php" 200 11026 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:15 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?ids=1" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:17 +0500] "GET /wp-admin/edit.php?post_status=trash&post_type=post HTTP/1.1" "http://wordpress/wp-admin/edit.php?ids=1" 200 13612 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:17 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:18 +0500] "GET /wp-admin/post.php?post=1&action=delete&_wpnonce=7cf5c46ebf HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 302 469 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
