c:\users\admin\documents\github\phpproject\ospanel\modules\database\MariaDB-10.3-x64\bin\mysqld.exe, Version: 10.3.13-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
190629 10:58:27	     8 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		     8 Query	SET NAMES utf8mb4
		     8 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		     8 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		     8 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		     8 Quit	
190629 11:11:45	     9 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		     9 Query	SET NAMES utf8mb4
		     9 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		     9 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		     9 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		     9 Quit	
190629 11:12:03	    10 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    10 Query	SET NAMES utf8mb4
		    10 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    10 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    10 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    10 Quit	
190629 11:12:10	    11 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    11 Query	SET NAMES utf8mb4
		    11 Query	SELECT `users`.*  FROM `users`  WHERE email = 'mistermihail23@gmail.com' LIMIT 1   -- keep-cache
		    11 Quit	
		    12 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    12 Query	SET NAMES utf8mb4
		    12 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    12 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    12 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    12 Quit	
190629 11:38:38	    13 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    13 Query	SET NAMES utf8mb4
		    13 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    13 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    13 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    13 Quit	
190629 11:39:04	    14 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    14 Query	SET NAMES utf8mb4
